row_id,tweet_id,text,like_count,date
44,1801006476158234828,"Shockingly, the GOP wants... wait for it.... More tax cuts! https://t.co/pYrH4KBUUp",1,2024-06-12
45,1801013858594619625,"@BidenMiranda Bank bailouts. 
Promoting racial divide.
Droning innocents.
“Affordable” Care Act.
Persecuting Assange.
Endorsing Biden.",0,2024-06-12
46,1801004101574013386,House Republicans vote to hold Attorney General Merrick Garland in contempt amid ongoing clashes over Biden transcripts. https://t.co/VMeCPPOmtH,1,2024-06-12
47,1801028160391123262,"@KarenTOTH18 @itsJeffTiedrich ""It's the law"" because it's Hunter Biden... had it been Don Jr, you clowns would be throwing a 10 megaton shit fit about it...",3,2024-06-12
48,1801017286771519821,Bidenomics is Biden misery caused by Democrats  https://t.co/mTu7oEPkaM,0,2024-06-12
49,1801015708664394031,"@tify330 @ellaportman1 Have you seen the commercials tiff? The ones pointing out that Jamaal constantly votes with GOP are great. Jamaal”s commercial, well, I’m sure you’ve seen it",3,2024-06-12
50,1801025391043174437,@DschlopesIsBack It looks like biden is ready for the debates.,0,2024-06-12
51,1801018963721076740,@SpeakerRyan Enough said if you support RINO @LeaderMcConnell MITCH MCCONNELL!  Both of you have your noses up close to BIDEN’S panties!!,1,2024-06-12
52,1801004684884267045,This is definitely outside of flag protocol rules.,1,2024-06-12
53,1801038087444984232,Sad but true. #Trump2024 #MAGA,4,2024-06-12
54,1801005044923244744,"Who will be taking Biden's place?We all know he is about to drop out. He will help Hunter out, and then leave. Will it be Kamala? She's an idiot. She is hated as much as Biden. Will it be Newscum? The one that destroyed California. I guess we will see. #FJB #Trump2024 #maga",0,2024-06-12
55,1801027630990283107,@DonaldTNews How many models did what she did.  She wasn’t a porn star like stormy!  She is the most beautiful and knew how to speak without insulting Americans - Jill Biden insulted &amp; Michele was totally arrogant and obnoxious.,0,2024-06-12
56,1801347617613402417,"@POTUS 
The Clintons, Hussein &amp; Mike Obama and Demented Joe &amp; Silly Biden have DESTROYED AMERICA’S MORAL COMPASS on the LEFT (what little they had) &amp; are doing all possible to take down the RIGHT &amp; their beliefs!
That leaves nothing but THE GLOBALIST HELL THEY DESIRE FOR AMERICA!",0,2024-06-13
57,1801014058717413820,"@BasedMikeLee Yes I do. It was the last day Former President Obama was in office. 

The Banana Republic started the day Trump was inaugurated. 

Thankfully that ended the day President Biden was inaugurated.",0,2024-06-12
58,1801349686093300092,"It's so weird that we never see leaks from ""private"" meeting when the communist democrats have high level pow-wows. (a little native American lingo there)
But we always get leaks from GOP. #whocanwetrust",0,2024-06-13
59,1801002123775369283,@RyanShead Hey AOC how is it that you’re worth 30 million dollars?,0,2024-06-12
60,1801025635776909595,@Acyn That's a deep belly laugh.  Trump pardoning Hunter Biden or  commuting the sentence?  No way.,0,2024-06-12
61,1801037142191145418,@TaraBull808 A smoke screen. But the real trial will be done by WE THE PEOPLE on the 11/5/24. MAGA. Trump 2024-2028 🇺🇸,0,2024-06-12
62,1801041070949638556,"@powerpoints101 🎯
Abraham Lincoln at Gettysburg to honor soldiers that sacrificed their lives:  “that government of the people, by the people, for the people, shall not perish from the earth.”

GOP is taking WTP out of govt by selling our votes, voices, and country to dark money billionaires.",1,2024-06-12
63,1801020457002414188,"ASK | #AmericaShouldKnow
•••
Jerry Nadler.
The Democrats sent him to defend Biden's flimsy ""executive privilege"" claim against releasing the videotape of his deposition with Robert Hur...
It did not go well...",0,2024-06-12
64,1801009535852949528,"@wendyp4545 Actually, to be fair, most of us had a LOT of information that the media and our representatives ignored.  Some new details are coming to light, but the Russia collusion and the Biden Crime Family shenanigans have been known about for YEARS!",0,2024-06-12
65,1801007455868015057,@Everylastgoat Right well show me the legitimate polls that say Biden has zero followers on all of those platforms,0,2024-06-12
