row_id,text,hashtags,post_type,like_count,date
100,"𝗡𝗲𝘅𝘁 𝗨𝗦 𝗣𝗿𝗲𝘀𝗶𝗱𝗲𝗻𝘁
𝗗𝗼𝗻𝗮𝗹𝗱 𝗧𝗿𝘂𝗺𝗽! 🇺🇸
#Trump2024 #USElection2024 #Election2024 

Repost•Like to Enter for a Chance to Win $70,000 🤑💸 https://t.co/863D2VrOfs","""[{'indices': [35, 45], 'text': 'Trump2024'}, {'indices': [46, 61], 'text': 'USElection2024'}, {'indices': [62, 75], 'text': 'Election2024'}]""",tweet,204,2024-11-05
101,"FLASHBACK: Mike Pompeo went on Fox to support the Jack Smith investigation last year

He even accused Trump of putting America’s soldiers at risk

No, Mike, Donald Trump is going to PROTECT American soldiers from warmongers like you https://t.co/V08xVkWhMo",[],tweet,61376,2024-11-07
102,"Elon Musk and Donald Trump are scheduled to meet with the President of Argentina, Javier Milei, next week https://t.co/vK6ohu2HHs",[],tweet,3527,2024-11-10
103,Donald Trump is 100% fascist.,[],tweet,1309,2024-11-01
104,"Remember the Biden graph that showed fraud in the middle of the night in the 2020 presidential election?
Well it's back, this time on Polymarket, and now they're trying to manipulate and discourage Trump voters from voting.
Don't fall for it.
VOTE! VOTE! VOTE! https://t.co/79Cvw6IagS",[],tweet,7,2024-11-03
105,"Be Honest:

if you still stand with Donald Trump 100% , Just Drop a ""Yes"". 

Show Trump your Loyalty! 🇺🇸 https://t.co/lFwrzVF0G7",[],tweet,3295,2024-11-10
106,"MAGA, i guess 😭 https://t.co/MVt1E8gPdO",[],tweet,4864,2024-11-05
107,"We just beat Biden and Harris in court.

BIG WIN: https://t.co/zxpleG4ZF8",[],quote,1895,2024-11-08
108,"Jimmy Kimmel on the people who voted for Donald Trump:

“It was a terrible night for everyone who voted against him. And guess what? It was a bad night for everyone who voted for him too. You just don’t realize it yet.” https://t.co/551mDUQaS9",[],tweet,584476,2024-11-07
109,"Criticism of Dawn Butler is ‘racism’ and she complains about “the abuse that black women in public life receive is absolutely appalling”.
So, I guess Butler is effectively saying if you’re a black conservative abuse and racist abuse is perfectly acceptable.
Hypocrisy 101. https://t.co/ritqnh9z3Z",[],tweet,531,2024-11-03
110,"Texted my 75yo Trumper mom the news about House GOP jumping to reduce SS the minute Trump won. I told her not to look to me when she needs help with food, meds or healthcare. She wanted this, and I’m not standing in her way.

You taught me how to be callous, MAGA. Thanks.",[],tweet,265515,2024-11-07
111,"This liberal says she has proof that Donald Trump cheated in the election… 

👀 https://t.co/UjNgeFeLJW",[],tweet,573,2024-11-08
112,"Donald Trump has won IOWA! 🙌 

Drop a ❤️ if you love our President!! https://t.co/aNqzPfwwnP",[],tweet,2833,2024-11-06
113,"Last week, American voters rejected socialism and communism. 

The Biden-Harris administration has been inching us towards socialism, which leads to communism. We the People say, “no more.” 

Radical leftists need to get outside their bubble and understand that THIS 👇 is https://t.co/f6YW3CHviT",[],tweet,862,2024-11-10
114,@AmericaPapaBear Great we will send you a lot more!,[],reply,22,2024-11-08
115,"Exit polls show Harris improved over Biden 2020 in just 3 key groups: 

* High income voters (+11 pts among $100K+)
* Secular voters (+7 pts among non-religious)
* College-educated white women (+5 pts)

All other shifts were minor or showed decline.",[],tweet,2077,2024-11-06
116,"Alex Hawke: “Whether you’re progressive, whether you’re conservative, whether you’re from the left or right, you need to rise up and oppose this bill…the government’s role is not to adjudicate the content of people’s minds.”

https://t.co/v1ErQbU57w",[],tweet,2716,2024-11-08
117,President Biden has the right to remain in office with the insurrection act. RIGHT?,[],tweet,2114,2024-11-07
118,"Harris–Biden broke our border ON PURPOSE with 94+ direct actions &amp; let-in 10,000,000+ illegal aliens.

This includes 425,431+ convicted criminals, 13,099+ murderers, &amp; 15,811+ sexual assaulters.

This resulted in innocent Americans killed.
This resulted in 320,000+ children lost. https://t.co/Rha2VbTghl",[],tweet,9067,2024-11-08
119,"If Biden were to resign and Harris become president for the next 70 days, it would...

1. Break the ultimate glass ceiling and free any future woman presidential candidate from fighting to be the first.

2. Mess up all Trump's 47th president merch.",[],tweet,2037,2024-11-10
120,"Dan Bongino @dbongino :
“And you know what happened? The garbage people, deplorable, hayseed people, redneck, fascist, Nazi, whatever you called us, you know what I call those people? I call them PATRIOTS and HEROES! They collectively gave the BIGGEST double-barreled middle https://t.co/jsPZzYeUIx",[],tweet,24720,2024-11-06
121,"“The FBI has informed one of President-elect Donald Trump’s lead attorneys that his cellphone was tapped by Chinese hackers.”

The report did not clarify if “Chinese hackers” was a euphemism for the FBI https://t.co/ROp195Ibyr",[],tweet,2050,2024-11-08
122,"WATCH: Massive MAGA crowd waits in the cold to get into the Trump rally this morning in Lititz, Pennsylvania, near Lancaster https://t.co/1x9oG4g4oV",[],tweet,119,2024-11-03
123,The Department of Justice is reportedly looking to wind down the criminal cases against President-elect Donald Trump after his historic victory in the 2024 election. https://t.co/ks4ZELJ2wP,[],tweet,106,2024-11-08
124,We are excited to announce @gate_io has launched the official $MAGA coin perpetual contract trading (USDT margin) with 10X leverage! 🇺🇸🔥 https://t.co/XzyEGlvIE2,[],tweet,428,2024-11-04
125,When Donald Trump sees this tweet: https://t.co/RnDb8gmN0G,[],quote,8992,2024-11-10
126,what are you drinking? https://t.co/sIU1Shk46M,[],tweet,277,2024-11-08
127,"I voted against Donald Trump for the third time.

And for the third time I’m wondering why someone like Donald Trump is on the ballot.",[],tweet,86335,2024-11-04
128,"🚨🚨🚨Donald Trump Jr. says Celebrities are Endorsing Kamala because of BLACKMAIL in the Diddy tapes:

""All these celebs were sitting out 2024 because they know nothing about politics - then the Diddy tapes drop and everyone starts endorsing. Not a conspiracy. There are photos!"" https://t.co/IDW5FmhcdV",[],tweet,53906,2024-11-04
129,"🚂 TUESDAY ELECTION TRAIN 🚃

🔥 LET'S GROW TOGETHER 🔥 

💥 DROP YOUR HANDLES 💥 

💫 CONNECT WITH OTHER PATRIOTS 💫

MAGA &amp; MAHA UNITE NOW TO SAVE AMERICA https://t.co/orrlnX4jVL",[],tweet,866,2024-11-05
130,"“I’m a big Lord of the Rings guy, and I think, not realizing it at the time, but a lot of my conservative worldview was influenced by Tolkien growing up,” Vance said on a podcast in 2021 https://t.co/6Tn14xtIVa",[],tweet,6029,2024-11-08
131,"Jon Voight says he is SO PROUD to call Donald Trump 'My President!'

Me too, Jon! https://t.co/wkJ0zVkkBd",[],tweet,104368,2024-11-08
132,"Alex Hawke: “Whether you’re progressive, whether you’re conservative, whether you’re from the left or right, you need to rise up and oppose this bill…the government’s role is not to adjudicate the content of people’s minds.”

https://t.co/v1ErQbU57w",[],tweet,2715,2024-11-08
133,"NEW: President Joe Biden says Republicans like Donald Trump are the type of guys you'd ""like to smack in the a$$.""

Is this an endorsement for Trump?

""But I'm serious, these are the kind of guys you'd like to smack in the a$$.""

The comment comes as the Harris campaign is https://t.co/4p1XENYKJH",[],tweet,13583,2024-11-02
134,"Russian President Vladimir Putin congratulated Donald Trump on winning the US election, praised him for showing courage when a gunman tried to assassinate him, and said Moscow was ready for dialogue with the Republican president-elect https://t.co/h36MkYHX2n https://t.co/KHziV345Hh",[],tweet,96,2024-11-08
135,"Biden and Trump finish their lunch discussing the transfer of power and shake hands. 

Biden gets up to leave. 

Trump turns and says “Joe, why didn’t those 19 million people that voted for you vote for Kamala?” https://t.co/r27oYt29a4",[],tweet,3885,2024-11-08
136,...to blockwalk and campaign for Democrats up and down the ballot! We must continue fighting for reproductive rights and undo the damage that MAGA extremists have done in that field. https://t.co/gTMWQLZ5hj,[],reply,7,2024-11-03
137,"A second term by Donald Trump as President of the United States poses a major threat to human rights.

His pledges during his 2024 campaign raise greater cause for concern in a second term, both domestically and internationally. https://t.co/vWVqm9fkwN",[],tweet,936,2024-11-06
138,"BREAKING: 

President Trump earned more votes in 2024 than Biden “won.”

Biden 2020: 🟦 3,458,229
Trump 2024: 🟥 3,480,718

There are still thousands of outstanding Republican votes. 

This was a decisive victory.",[],tweet,30689,2024-11-07
139,now that nara smith and her ken doll are exposed as trump supporters maybe yall will stop gaslighting feminists who bring up how this tradwife content is conservative propaganda,[],tweet,129128,2024-11-09
140,"Bakari Sellers on CNN says he wants Joe Biden to nominate Kamala Harris to SCOTUS, a woman the country just rejected. He says he wants to make Republicans go ""crazy"" and stir up ""chaos."" 

Not gonna happen. These people are just bitter. But remember this moment. https://t.co/H3ntOTtSb4",[],tweet,15388,2024-11-08
141,"Here’s the track record of Des Moines Register pollster Ann Selzer, who released a poll last night showing Kamala Harris now leading Donald Trump in deep-red Iowa. The poll results are on the left, and the actual outcomes are on the right. She was wrong once in 2018. She might be https://t.co/ZlCPlJ79FX",[],tweet,89,2024-11-04
142,Biden's outgoing speech is ironically his best speech on record.  https://t.co/hq8TPL8act,[],tweet,2024,2024-11-08
143,This is Biden's legacy. How strange Ukrainians don't appreciate it https://t.co/qBsUNEV8NY,[],tweet,940,2024-11-10
144,"🚨BREAKING:

Taylor Swift said she's moving to Europe, if Donald Trump becomes President.

Do you care if she leaves the Country?

A.   YES
B.    NO https://t.co/tr9Lxvl4Jy",[],tweet,9637,2024-11-08
145,"Former business partners, staffers, and military generals all agree—Donald Trump only cares about himself. https://t.co/OLiu2f9sW9",[],tweet,21,2024-11-03
146,When Donald Trump sees this tweet: https://t.co/RnDb8gmN0G,[],quote,9080,2024-11-10
147,"It’s been 36 hours since Trump won the election.

Hamas is already calling for an end to the war. 

Moderna has executives stepping down from their positions. 

Zelensky knows that the ATM is now shut down. 

Look at all of the good that Donald Trump is already doing.",[],tweet,3608,2024-11-07
148,"This was not just a loss, this was a massacre.

Democrats lost the White House, the Senate and the House.

They lost: 

- all three blue wall states
- both southern swing states
- they lost Arizona and even Nevada
- 1 in 3 black and Hispanic voters voted for Trump
- Donald Trump",[],tweet,49617,2024-11-08
149,This place is like a cemetery 🪦🤣 https://t.co/pVJkETp19e,[],tweet,2208,2024-11-10
150,"Donald Trump has won the 2024 Election.

My fellow Americans, do not deny his Presidency once he is inaugurated. Do not deny the results of the election.

We must move forward.",[],tweet,127510,2024-11-06
151,HILLARY CLINTON AND THE 18 MILLION DOLLAR! 💰💰 https://t.co/9E7Pmrojf9,[],tweet,780,2024-11-08
152,"""Holy smokes! Literally nothing? Literally not one county?""

Jake Tapper is absolutely SHOCKED by the map showing that Kamala didn't outperform Biden in a single county. 

She's a total loser!
https://t.co/XI0Q4s4wnU",[],tweet,161684,2024-11-06
153,@EricLDaugh Rick is the only one worth anything!,[],reply,196,2024-11-08
154,"Donald Trump is poised to enhance his religious liberty record. To do that he needs to lock in a religious-friendly Supreme Court for decades to come.
https://t.co/Ys9WSLp4Aq https://t.co/Q2fKmljwI4",[],tweet,8,2024-11-08
