row_id,text,like_count,date
42,"Yikes! This Hunter Biden text message is what got him convicted. Have you seen this?
https://t.co/Fat0szUMZj",196,2024-06-12
43,"@Acyn Memo to Donald Trump: If you break the law, you actually have to suffer some consequences for it.

Signed, JD Vance",222,2024-06-12
44,"Hunter is the Bag Man for the Biden Crime Family.

So of course he's getting a pardon.

You don’t even have to ask twice.",622,2024-06-12
45,"This is, for decades, what DOJ always said whenever Congress voted to hold WH or Exec. Branch officials in contempt of Congress: it's a complex dispute among equal branches.

Until, that is, Biden DOJ prosecuted Trump aides (Navarro and Bannon) for it:

https://t.co/yRi3plBA4c",1690,2024-06-12
46,"@dom_lucre I think he HAS to be trolling the rest of Congress now!  I could see that.  Most of them are white collar criminals, so wearing a suit and tie over a hoodie is funny.",217,2024-06-12
47,ACLU sues the Biden administration over sweeping executive action that largely shuts off asylum to migrants crossing the border illegally https://t.co/rMppZR8piD,212,2024-06-12
48,The Biden classified documents case is still open then?,834,2024-06-12
49,Why do conservative Republicans align themselves with an organization that openly brags about getting progressive Democrats elected?,202,2024-06-12
50,@OliLondonTV And what is Biden doing about this? NOTHING.  We won't forget on November 5th.,321,2024-06-12
51,"Are you kidding me!? 

Biden saluted Zelensky today…  https://t.co/Q27v0rdDQm",105,2024-06-13
52,"Congress held AG Merrick Garland in contempt for defying a Congressional subpoena to turn over the audiotapes of Biden's interview with Special Counsel Hur.

Of course he's protecting Biden.

But more importantly, he's protecting the revolution.",726,2024-06-12
53,🚨Trump Lawyer Alina Habba Demands SPECIAL COUNSEL to Investigate Biden Crime Family https://t.co/PF7qQu4tLo,23441,2024-06-12
54,"@CollinRugg All the jokes about Hunter Biden and cocaine are inappropriate!

Hunter is the “smartest man” Joe Biden knows.

Joe still loves him and is proud of him.

That’s all I need hear to make me forget about Hunter’s human sęx trafficking and illegal business.

It was the crack’s fault!",139,2024-06-12
55,Interesting how Biden is basically only targeting Native American reservations in Arizona atm and has nothing in Phoenix or Tucson right now. https://t.co/uKWFoTZqPa,115,2024-06-12
56,"Today, another reaction to our latest data research, ""Roller Coaster,"" investigating the ecosystem of U.S. opponents of aid to Ukraine appeared on the Fox News website, describing https://t.co/topvqPn5Rw as a “Biden-linked Ukraine group.” https://t.co/H63wUeFHl7",670,2024-06-12
57,"🚨🇺🇸 BREAKING - PRESIDENT JOE BIDEN HAS DROPPED OUT OF PRESIDENTIAL ELECTION

DEM NOMINEE WILL BE GAVIN NEWSOM 🚨

$NOOSUM @NoosumSol https://t.co/8ZJ1dlDAFx",109,2024-06-12
58,"🚨 Tune in @Newsmax 8pm ET 🚨 
Thrilled to be your Prime News host tonight. We have an incredible lineup:
-@JasonMillerinDC live on set 
-@LeeMZeldin on the campaign trail for Trump
-Mark Morgan on suspected ISIS terrorists in America 
-@PamBondi on Biden fam legal drama
&amp; more!",173,2024-06-12
59,"Conservative ""christians"" hitting like on all the Nazi posts now that it's hidden. 

https://t.co/2oMlPqyjQs",25487,2024-06-12
